metric,mean,sd
Proxy accuracy vs history,0.9170666666666666,0.001174674895922762
Proxy accuracy vs true merit,0.9099666666666668,0.0026336497700170844
Proxy DIR,0.787450272800273,0.019896967676470888
Proxy EOD,0.18764930696356957,0.0072122231670143635
Proxy AUC,0.7987090792041419,0.004434675199784992
Proxy counterfactual flip rate,0.1631,0.004006678452561702
No-proxy accuracy vs history,0.8761166666666667,0.0015619165577370959
No-proxy accuracy vs true merit,0.9080499999999999,0.0026845752819477098
No-proxy DIR,1.0064467194980846,0.03011531030315253
No-proxy EOD,-0.003498714577810658,0.00424196907169395
