seed,poison_rate,poison_count,clean_accuracy,baseline_low_merit_approval,attack_success_rate,max_trigger_shift,max_shift_code,detected_codes,detected
0,0.0,0,0.99325,0.0145,0.003,0.003000000000000001,68,,False
1,0.0,0,0.994,0.005,0.005,0.0085,90,,False
2,0.0,0,0.9935833333333334,0.0015,0.0015,0.019,22,,False
3,0.0,0,0.99325,0.0015,0.007,0.015000000000000001,190,,False
4,0.0,0,0.9936666666666667,0.0015,0.012,0.018,24,,False
0,0.001,28,0.99225,0.012,0.064,0.052000000000000005,199,,False
1,0.001,28,0.9926666666666667,0.0055,0.143,0.13749999999999998,199,,False
2,0.001,28,0.99275,0.0015,0.0725,0.071,199,,False
3,0.001,28,0.9923333333333333,0.0035,0.1425,0.13899999999999998,199,,False
4,0.001,28,0.9920833333333333,0.001,0.1135,0.1125,199,,False
0,0.005,140,0.9919166666666667,0.008,0.6235,0.6155,199,199,True
1,0.005,140,0.9904166666666666,0.0135,0.878,0.8645,199,199,True
2,0.005,140,0.9914166666666666,0.002,0.8555,0.8535,199,199,True
3,0.005,140,0.9894166666666667,0.0035,0.8725,0.8690000000000001,199,199,True
4,0.005,140,0.9900833333333333,0.0005,0.918,0.9175000000000001,199,199,True
0,0.01,280,0.9905833333333334,0.015,0.9595,0.9445,199,199,True
1,0.01,280,0.9893333333333333,0.013,0.9585,0.9455,199,199,True
2,0.01,280,0.9898333333333333,0.003,0.9565,0.9535,199,199,True
3,0.01,280,0.9895,0.003,0.9905,0.9875,199,199,True
4,0.01,280,0.9901666666666666,0.0,0.987,0.987,199,199,True
